"barcode","sample"
"HD-17-Su:346254","HD-17-Su"
"HD-17-Su:346255","HD-17-Su"
"HD-17-Su:346256","HD-17-Su"
"HD-17-Su:346257","HD-17-Su"
"HD-17-Su:346258","HD-17-Su"
"HD-17-Su:346259","HD-17-Su"
"HD-17-Su:346260","HD-17-Su"
"HD-17-Su:346261","HD-17-Su"
"HD-17-Su:346262","HD-17-Su"
"HD-17-Su:346263","HD-17-Su"
"HD-17-Su:346264","HD-17-Su"
"HD-17-Su:346265","HD-17-Su"
"HD-17-Su:346266","HD-17-Su"
"HD-17-Su:346267","HD-17-Su"
"HD-17-Su:346269","HD-17-Su"
"HD-17-Su:346270","HD-17-Su"
"HD-17-Su:346272","HD-17-Su"
"HD-17-Su:346273","HD-17-Su"
"HD-17-Su:346274","HD-17-Su"
"HD-17-Su:346275","HD-17-Su"
"HD-17-Su:346276","HD-17-Su"
"HD-17-Su:346277","HD-17-Su"
"HD-17-Su:346278","HD-17-Su"
"HD-17-Su:346279","HD-17-Su"
"HD-17-Su:346280","HD-17-Su"
"HD-17-Su:346281","HD-17-Su"
"HD-17-Su:346282","HD-17-Su"
"HD-17-Su:346283","HD-17-Su"
"HD-17-Su:346284","HD-17-Su"
"HD-17-Su:346285","HD-17-Su"
"HD-17-Su:346286","HD-17-Su"
"HD-17-Su:346287","HD-17-Su"
"HD-17-Su:346288","HD-17-Su"
"HD-17-Su:346289","HD-17-Su"
"HD-17-Su:346290","HD-17-Su"
"HD-17-Su:346291","HD-17-Su"
"HD-17-Su:346292","HD-17-Su"
"HD-17-Su:346293","HD-17-Su"
"HD-17-Su:346294","HD-17-Su"
"HD-17-Su:346295","HD-17-Su"
"HD-17-Su:346296","HD-17-Su"
"HD-17-Su:346297","HD-17-Su"
"HD-17-Su:346298","HD-17-Su"
"HD-17-Su:346300","HD-17-Su"
"HD-17-Su:346301","HD-17-Su"
"HD-17-Su:346302","HD-17-Su"
"HD-17-Su:346303","HD-17-Su"
"HD-17-Su:346304","HD-17-Su"
"HD-17-Su:346305","HD-17-Su"
"HD-17-Su:346306","HD-17-Su"
"HD-17-Su:346307","HD-17-Su"
"HD-17-Su:346309","HD-17-Su"
"HD-17-Su:346310","HD-17-Su"
"HD-17-Su:346311","HD-17-Su"
"HD-17-Su:346312","HD-17-Su"
"HD-17-Su:346313","HD-17-Su"
"HD-17-Su:346314","HD-17-Su"
"HD-17-Su:346315","HD-17-Su"
"HD-17-Su:346316","HD-17-Su"
"HD-17-Su:346317","HD-17-Su"
"HD-17-Su:346318","HD-17-Su"
"HD-17-Su:346319","HD-17-Su"
"HD-17-Su:346320","HD-17-Su"
"HD-17-Su:346321","HD-17-Su"
"HD-17-Su:346322","HD-17-Su"
"HD-17-Su:346323","HD-17-Su"
"HD-17-Su:346324","HD-17-Su"
"HD-17-Su:346325","HD-17-Su"
"HD-17-Su:346326","HD-17-Su"
"HD-17-Su:346327","HD-17-Su"
"HD-17-Su:346329","HD-17-Su"
"HD-17-Su:346330","HD-17-Su"
"HD-17-Su:346332","HD-17-Su"
"HD-17-Su:346333","HD-17-Su"
"HD-17-Su:346334","HD-17-Su"
"HD-17-Su:346335","HD-17-Su"
"HD-17-Su:346336","HD-17-Su"
"HD-17-Su:346337","HD-17-Su"
"HD-17-Su:346338","HD-17-Su"
"HD-17-Su:346339","HD-17-Su"
"HD-17-Su:346340","HD-17-Su"
"HD-17-Su:346341","HD-17-Su"
"HD-17-Su:346342","HD-17-Su"
"HD-17-Su:346343","HD-17-Su"
"HD-17-Su:346344","HD-17-Su"
"HD-17-Su:346345","HD-17-Su"
"HD-17-Su:346346","HD-17-Su"
"HD-17-Su:346347","HD-17-Su"
"HD-17-Su:346348","HD-17-Su"
"HD-17-Su:346349","HD-17-Su"
"HD-17-Su:346351","HD-17-Su"
"HD-17-Su:346352","HD-17-Su"
"HD-17-Su:346353","HD-17-Su"
"HD-17-Su:346354","HD-17-Su"
"HD-17-Su:346355","HD-17-Su"
"HD-17-Su:346356","HD-17-Su"
"HD-17-Su:346358","HD-17-Su"
"HD-17-Su:346359","HD-17-Su"
"HD-17-Su:346360","HD-17-Su"
"HD-17-Su:346362","HD-17-Su"
"HD-17-Su:346363","HD-17-Su"
"HD-17-Su:346364","HD-17-Su"
"HD-17-Su:346365","HD-17-Su"
"HD-17-Su:346366","HD-17-Su"
"HD-17-Su:346367","HD-17-Su"
"HD-17-Su:346368","HD-17-Su"
"HD-17-Su:346369","HD-17-Su"
"HD-17-Su:346370","HD-17-Su"
"HD-17-Su:346371","HD-17-Su"
"HD-17-Su:346372","HD-17-Su"
"HD-17-Su:346373","HD-17-Su"
"HD-17-Su:346374","HD-17-Su"
"HD-17-Su:346375","HD-17-Su"
"HD-17-Su:346376","HD-17-Su"
"HD-17-Su:346377","HD-17-Su"
"HD-17-Su:346378","HD-17-Su"
"HD-17-Su:346379","HD-17-Su"
"HD-17-Su:346380","HD-17-Su"
"HD-17-Su:346381","HD-17-Su"
"HD-17-Su:346382","HD-17-Su"
"HD-17-Su:346383","HD-17-Su"
"HD-17-Su:346384","HD-17-Su"
"HD-17-Su:346385","HD-17-Su"
"HD-17-Su:346386","HD-17-Su"
"HD-17-Su:346387","HD-17-Su"
"HD-17-Su:346388","HD-17-Su"
"HD-17-Su:346389","HD-17-Su"
"HD-17-Su:346391","HD-17-Su"
"HD-17-Su:346392","HD-17-Su"
"HD-17-Su:346393","HD-17-Su"
"HD-17-Su:346394","HD-17-Su"
"HD-17-Su:346395","HD-17-Su"
"HD-17-Su:346396","HD-17-Su"
