"barcode","sample","celltype","UMAP_1","UMAP_2"
"HD-19-Su:347960","HD-19-Su","3",-2.80455056901804,-8.127551732528
"HD-19-Su:347961","HD-19-Su","2",-7.78491107698313,5.84470111323616
"HD-19-Su:347962","HD-19-Su","4",-5.7114080595576,-5.08408516453484
"HD-19-Su:347963","HD-19-Su","2",-7.02728788133494,6.56424790812751
"HD-19-Su:347964","HD-19-Su","2",-5.58009282823435,4.89376288844368
"HD-19-Su:347965","HD-19-Su","4",-5.6142114805781,-4.36451262043694
"HD-19-Su:347966","HD-19-Su","2",-4.50442258592478,6.14044743968269
"HD-19-Su:347967","HD-19-Su","5",-5.33033839937083,1.3652814049842
"HD-19-Su:347968","HD-19-Su","4",-5.24504415269724,-5.48593348072747
"HD-19-Su:347969","HD-19-Su","2",-5.44755117174021,5.93556815577766
"HD-19-Su:347970","HD-19-Su","7",6.92002304319509,-11.8155371527551
"HD-19-Su:347971","HD-19-Su","3",-3.78667489763133,-9.05780571507195
"HD-19-Su:347972","HD-19-Su","5",-6.16072074647776,1.17814511252662
"HD-19-Su:347973","HD-19-Su","2",-7.40478460069529,6.70943480922004
"HD-19-Su:347974","HD-19-Su","2",-4.72733823533885,6.44079953624031
"HD-19-Su:347975","HD-19-Su","5",-5.03046170945994,3.25026565982124
"HD-19-Su:347976","HD-19-Su","4",-5.94739333864085,-4.49968832539299
"HD-19-Su:347977","HD-19-Su","5",-5.38483707185618,3.46659928752205
"HD-19-Su:347978","HD-19-Su","2",-6.31996146913401,7.01850921107551
"HD-19-Su:347980","HD-19-Su","2",-7.67660133119456,6.85830241633674
"HD-19-Su:347981","HD-19-Su","2",-5.47560970064036,5.78798896266243
"HD-19-Su:347982","HD-19-Su","4",-5.46017734285227,-4.56943386601189
"HD-19-Su:347983","HD-19-Su","4",-5.36711971040598,-4.45568722294548
"HD-19-Su:347984","HD-19-Su","2",-5.04845134492747,6.21194297267219
"HD-19-Su:347985","HD-19-Su","3",-4.2397693800532,-7.9338843207238
"HD-19-Su:347986","HD-19-Su","4",-5.62177697893015,-4.55441731022576
"HD-19-Su:347987","HD-19-Su","2",-8.32771198030344,5.52869349910041
"HD-19-Su:347988","HD-19-Su","3",-3.04328505273692,-8.47128552006462
"HD-19-Su:347989","HD-19-Su","3",-4.41262332673899,-7.54756992863396
"HD-19-Su:347990","HD-19-Su","2",-7.00028840776316,6.027158083451
"HD-19-Su:347991","HD-19-Su","2",-5.98533860917918,7.09933215571663
"HD-19-Su:347992","HD-19-Su","3",-4.62563268419138,-8.44364803837517
"HD-19-Su:347993","HD-19-Su","13",-0.683706800898233,-15.8334614615319
"HD-19-Su:347994","HD-19-Su","5",-4.74190227266184,4.12715655757209
"HD-19-Su:347995","HD-19-Su","4",-5.04343024965159,-4.67955702351311
"HD-19-Su:347996","HD-19-Su","5",-5.19577972169749,1.35734743071815
"HD-19-Su:347997","HD-19-Su","5",-6.0290702986323,1.99247008754036
"HD-19-Su:347998","HD-19-Su","4",-3.23990432496897,-5.64873856114128
"HD-19-Su:347999","HD-19-Su","3",-3.4539229082667,-8.03955429600457
"HD-19-Su:348000","HD-19-Su","5",-4.58106128450266,2.6744113583686
"HD-19-Su:348001","HD-19-Su","2",-5.52255527253977,6.99290067149421
"HD-19-Su:348002","HD-19-Su","4",-5.6553754019343,-5.54615467594841
"HD-19-Su:348003","HD-19-Su","2",-4.83120433565013,4.8876579423072
"HD-19-Su:348004","HD-19-Su","4",-5.53481237169138,-6.39548319386223
"HD-19-Su:348005","HD-19-Su","5",-5.25102893586985,1.10803818894645
"HD-19-Su:348006","HD-19-Su","3",-3.86309425111643,-8.17804115818718
"HD-19-Su:348007","HD-19-Su","3",-3.56847182985178,-7.91671818302849
"HD-19-Su:348008","HD-19-Su","2",-7.88170234437815,5.33803206874153
"HD-19-Su:348009","HD-19-Su","5",-6.67589942689768,4.00006681872627
"HD-19-Su:348010","HD-19-Su","4",-5.26803867097727,-4.7017819266198
"HD-19-Su:348011","HD-19-Su","12",3.44504030470022,12.9908850808265
"HD-19-Su:348012","HD-19-Su","12",3.53837903265127,13.1327908654334
"HD-19-Su:348013","HD-19-Su","2",-5.82300369020335,6.86852437449714
"HD-19-Su:348014","HD-19-Su","2",-4.5528158354365,6.86145907832405
"HD-19-Su:348015","HD-19-Su","2",-6.34408942933909,5.82553941203376
"HD-19-Su:348017","HD-19-Su","10",-1.68044726129405,-6.81111877964714
"HD-19-Su:348018","HD-19-Su","2",-7.03127948518626,6.29260617686531
"HD-19-Su:348019","HD-19-Su","5",-5.63259402986399,2.67755085421821
"HD-19-Su:348020","HD-19-Su","5",-6.31849853273264,2.58097320987007
"HD-19-Su:348021","HD-19-Su","11",6.08823021177419,-3.5662109236596
"HD-19-Su:348022","HD-19-Su","2",-6.80643598314158,4.79685574961921
"HD-19-Su:348023","HD-19-Su","2",-4.78102056260935,4.89364320231697
"HD-19-Su:348024","HD-19-Su","3",-3.15211312051646,-7.48833530949334
"HD-19-Su:348025","HD-19-Su","2",-7.75840751405589,6.59080964518806
"HD-19-Su:348026","HD-19-Su","2",-6.38973228212229,7.15374738169929
"HD-19-Su:348027","HD-19-Su","5",-6.40417424913279,3.91628343058845
"HD-19-Su:348028","HD-19-Su","2",-6.45973054643504,6.75803739024421
"HD-19-Su:348029","HD-19-Su","5",-4.94265739198557,3.02041655970833
"HD-19-Su:348030","HD-19-Su","8",-7.91208736177317,6.94357234431526
"HD-19-Su:348031","HD-19-Su","4",-2.58009616609446,-5.11931818531731
"HD-19-Su:348032","HD-19-Su","2",-7.73352615114085,6.43297893000862
"HD-19-Su:348033","HD-19-Su","2",-6.54137841935984,6.42095548106453
"HD-19-Su:348034","HD-19-Su","2",-6.72358505006663,4.748340429795
"HD-19-Su:348035","HD-19-Su","5",-5.0917882132136,3.02730614138862
"HD-19-Su:348036","HD-19-Su","8",-7.03205148454539,8.24420291377327
"HD-19-Su:348037","HD-19-Su","4",-4.81811849351756,-5.43144100712517
"HD-19-Su:348038","HD-19-Su","4",-5.15884677644602,-4.68138712452629
"HD-19-Su:348039","HD-19-Su","3",-2.94917337175242,-6.48186081455925
"HD-19-Su:348040","HD-19-Su","1",6.69546087507375,0.830631496441571
"HD-19-Su:348041","HD-19-Su","2",-5.90662519212596,5.97478705836555
"HD-19-Su:348042","HD-19-Su","3",-4.46418468232981,-8.04301994847039
"HD-19-Su:348043","HD-19-Su","1",10.1346007180608,1.51678592158577
"HD-19-Su:348044","HD-19-Su","2",-6.93513910051219,6.26915675593635
"HD-19-Su:348045","HD-19-Su","3",-4.18275205369822,-7.51353376911858
"HD-19-Su:348046","HD-19-Su","5",-6.2018169569575,3.4891577382209
"HD-19-Su:348047","HD-19-Su","2",-5.87907974000804,6.89972478343269
"HD-19-Su:348048","HD-19-Su","3",-3.6895550894343,-6.79157370136956
"HD-19-Su:348049","HD-19-Su","2",-7.16959420915476,6.86479646159431
"HD-19-Su:348050","HD-19-Su","2",-7.28044597383372,6.69280082179329
"HD-19-Su:348051","HD-19-Su","2",-7.36321584459178,5.0172908921363
"HD-19-Su:348052","HD-19-Su","3",-3.19224468942515,-7.17509907292107
"HD-19-Su:348053","HD-19-Su","3",-3.55774919267527,-8.07901352452019
"HD-19-Su:348054","HD-19-Su","3",-4.49037544008128,-7.01241844700554
"HD-19-Su:348055","HD-19-Su","2",-7.20934621568553,5.55763846827766
"HD-19-Su:348056","HD-19-Su","2",-7.4296731161677,5.85403233958503
"HD-19-Su:348057","HD-19-Su","5",-5.52366105790965,1.40858286811134
"HD-19-Su:348058","HD-19-Su","4",-5.30943099733225,-4.50041359471062
"HD-19-Su:348059","HD-19-Su","4",-4.22779075380198,-3.47918480442742
"HD-19-Su:348060","HD-19-Su","7",6.00065143827566,-12.1125733237145
"HD-19-Su:348061","HD-19-Su","4",-4.77670852418772,-4.85253828572014
"HD-19-Su:348062","HD-19-Su","4",-5.56125108476512,-5.22053545521477
"HD-19-Su:348063","HD-19-Su","2",-5.32687799211375,6.78336411906501
"HD-19-Su:348064","HD-19-Su","2",-4.64893666978709,6.72107297374031
"HD-19-Su:348065","HD-19-Su","3",-3.7190174269282,-8.38361328648308
"HD-19-Su:348066","HD-19-Su","3",-3.46258608575694,-7.24722212361077
"HD-19-Su:348067","HD-19-Su","5",-4.9157480406367,1.54944652510902
"HD-19-Su:348068","HD-19-Su","4",-4.15552226777903,-3.20751184033135
"HD-19-Su:348069","HD-19-Su","8",-7.81389419313304,7.2534592766883
"HD-19-Su:348070","HD-19-Su","5",-4.81011192079417,3.29059392405769
"HD-19-Su:348071","HD-19-Su","3",-4.71227447267405,-7.54520481632927
"HD-19-Su:348072","HD-19-Su","3",-5.15123311754099,-7.55875128315667
"HD-19-Su:348073","HD-19-Su","9",8.8413639855779,-3.78313129948357
"HD-19-Su:348074","HD-19-Su","3",-4.00483934160105,-8.73714321659783
"HD-19-Su:348075","HD-19-Su","4",-3.90164272065989,-2.78461283253411
"HD-19-Su:348076","HD-19-Su","3",-4.48764554735056,-8.19585007237175
"HD-19-Su:348077","HD-19-Su","3",-2.4297370123469,-7.67912214802483
"HD-19-Su:348078","HD-19-Su","5",-5.05312864061228,1.51814848376533
"HD-19-Su:348079","HD-19-Su","3",-3.49710790391795,-8.5673939566491
"HD-19-Su:348080","HD-19-Su","4",-5.06236783738963,-4.70282333897332
"HD-19-Su:348081","HD-19-Su","2",-7.19174615617625,6.44249898387214
"HD-19-Su:348082","HD-19-Su","2",-6.02396194215647,6.2859585900428
"HD-19-Su:348083","HD-19-Su","2",-5.72983686204783,6.75557691050789
"HD-19-Su:348084","HD-19-Su","2",-6.0935815977656,5.61528998805305
"HD-19-Su:348085","HD-19-Su","2",-7.06171075578562,3.97882873011848
"HD-19-Su:348086","HD-19-Su","5",-6.35351411577097,4.06032592250129
"HD-19-Su:348087","HD-19-Su","3",-3.14867917772166,-8.79426163243035
"HD-19-Su:348088","HD-19-Su","10",-1.11083904977671,-6.1665469984887
"HD-19-Su:348089","HD-19-Su","2",-5.99904767747752,5.64205199672004
"HD-19-Su:348090","HD-19-Su","2",-7.64158431764475,4.5595911164405
"HD-19-Su:348091","HD-19-Su","4",-5.40651218171946,-4.78047579334954
"HD-19-Su:348092","HD-19-Su","4",-4.28693238969676,-4.98610275791863
"HD-19-Su:348093","HD-19-Su","2",-6.30278293367259,6.83987838221809
"HD-19-Su:348094","HD-19-Su","2",-6.92178098436228,5.17941457225105
"HD-19-Su:348095","HD-19-Su","2",-6.84556810136668,6.47507697535774
"HD-19-Su:348096","HD-19-Su","4",-5.22487489457957,-4.81926077412346
"HD-19-Su:348097","HD-19-Su","3",-4.99178830858103,-8.23932808445671
"HD-19-Su:348098","HD-19-Su","2",-7.87284557100169,5.62047130061409
"HD-19-Su:348099","HD-19-Su","5",-5.3402709173762,2.33840781642219
"HD-19-Su:348100","HD-19-Su","2",-6.18583337541453,4.92496139003059
"HD-19-Su:348101","HD-19-Su","3",-2.96441094156138,-8.72351330326775
"HD-19-Su:348102","HD-19-Su","13",-0.671557824572244,-15.7532326559899
"HD-19-Su:348103","HD-19-Su","9",9.04338367704519,-3.4968909602044
"HD-19-Su:348104","HD-19-Su","6",-3.87453738923899,6.47867948008796
"HD-19-Su:348105","HD-19-Su","5",-7.00811235185496,3.20730596972725
"HD-19-Su:348106","HD-19-Su","2",-6.39699546571604,5.27921420527717
"HD-19-Su:348107","HD-19-Su","2",-5.58441249605052,5.2648928780677
"HD-19-Su:348108","HD-19-Su","12",3.99315961126455,12.3708804268958
"HD-19-Su:348109","HD-19-Su","9",8.43809898618825,-2.7228566985009
"HD-19-Su:348110","HD-19-Su","2",-6.25868646379344,6.53560096217415
